Sigla,Nome,Ano/Semestre,AU,TR,AU+TR,EXT,FREQ,NOTA,student_id
SMA0355,Cálculo III,2025/1,4,0,4,0,80.0,8.4,2
SSC0158,Computação em Nuvem e Arquitetura Orientadas a Serviços,2025/1,2,1,3,0,80.0,2.1,2
SSC0950,Projeto e Desenvolvimento de Software de Sistema,2025/1,2,2,4,0,100.0,7.0,2
SCC0200,Informação Profissional e Tutoria Acadêmica em Ciências da Computação,2023/1,2,0,2,30,100.0,10.0,3
SCC0221,Introdução à Ciência de Computação I,2023/1,4,1,5,90,100.0,8.4,3
SCC0222,Laboratório de Introdução à Ciência de Computação I,2023/1,2,2,4,90,100.0,9.5,3
SMA0300,Geometria Analítica,2023/1,4,0,4,60,100.0,7.9,3
SMA0353,Cálculo I,2023/1,4,0,4,60,100.0,8.5,3
SSC0104,Evolução Histórica da Computação e Aplicações,2023/1,2,1,3,60,100.0,10.0,3
SSC0109,Prática em Lógica Digital,2023/1,2,1,3,0,100.0,10.0,3
SSC0117,Introdução à Lógica Digital,2023/1,2,1,3,0,86.0,8.3,3
SSC0180,Eletrônica para Computação,2023/1,2,2,4,10,100.0,10.0,3
7600105,Física Básica I,2023/2,4,0,4,0,92.0,6.3,3
SCC0201,Introdução à Ciência de Computação II,2023/2,4,2,6,120,100.0,8.3,3
SCC0202,Algoritmos e Estruturas de Dados I,2023/2,4,2,6,120,97.0,9.4,3
SCC0220,Laboratório de Introdução à Ciência da Computação II,2023/2,4,0,4,60,100.0,9.6,3
SMA0180,Matemática Discreta I,2023/2,4,0,4,60,100.0,9.3,3
SMA0354,Cálculo II,2023/2,4,0,4,60,100.0,6.5,3
SSC0108,Prática em Sistemas Digitais,2023/2,2,1,3,0,88.0,10.0,3
SSC0118,Sistemas Digitais,2023/2,2,1,3,0,100.0,6.2,3
7600109,Laboratório de Física Geral I,2024/1,2,0,2,30,100.0,7.3,3
SCC0215,Organização de Arquivos,2024/1,3,2,5,105,100.0,9.1,3
SCC0216,Modelagem Computacional em Grafos,2024/1,2,1,3,60,100.0,9.4,3
SMA0355,Cálculo III,2024/1,4,0,4,60,100.0,6.0,3
SSC0103,Programação Orientada a Objetos,2024/1,2,1,3,60,100.0,9.3,3
SSC0902,Organização e Arquitetura de Computadores,2024/1,4,1,5,90,100.0,9.2,3
SSC0960,Programação Funcional,2024/1,2,1,3,60,100.0,9.4,3
SCC0218,Algoritmos Avançados e Aplicações,2024/2,2,2,4,90,100.0,9.3,3
SCC0284,Sistemas de Recomendação,2024/2,4,1,5,90,100.0,7.2,3
SME0123,Estatística,2024/2,4,0,4,60,100.0,6.6,3
SME0142,Álgebra Linear e Aplicações,2024/2,4,1,5,90,89.0,9.1,3
SSC0124,Análise e Projeto Orientados a Objetos,2024/2,2,1,3,60,100.0,9.1,3
SSC0140,Sistemas Operacionais I,2024/2,4,2,6,120,100.0,8.8,3
SSC0713,Sistemas Evolutivos e Aplicados à Robótica,2024/2,2,2,4,90,100.0,10.0,3
SSC0958,Criptomoedas e Blockchain,2024/2,4,2,6,120,82.0,9.1,3
SCC0219,Introdução ao Desenvolvimento Web,2025/1,4,1,5,90,97.0,9.6,3
SCC0240,Bases de Dados,2025/1,4,2,6,120,100.0,8.5,3
